,alpha,m,max_matched_dist,num_trajectories
0,0.0,0.5,0.0030000124016410362,683
1,0.0,0.51,0.003000086638748958,657
2,0.0,0.52,0.003000086638748958,657
3,0.0,0.53,0.003000086638748958,659
4,0.0,0.54,0.003000086638748958,665
5,0.0,0.55,0.003000086638748958,662
6,0.0,0.56,0.003000086638748958,660
7,0.0,0.57,0.003000086638748958,655
8,0.0,0.58,0.003000086638748958,611
9,0.0,0.59,0.0030002731958939837,547
10,0.0,0.6,0.0030002731958939837,547
11,0.0,0.61,0.0030002731958939837,539
12,0.0,0.62,0.0030002731958939837,537
13,0.0,0.63,0.0030002731958939837,520
14,0.0,0.64,0.0030002731958939837,521
15,0.0,0.65,0.00488689874664905,475
16,0.0,0.66,0.00488689874664905,474
17,0.0,0.67,0.00488689874664905,404
18,0.0,0.68,0.00488689874664905,404
19,0.0,0.69,0.00488689874664905,403
20,0.0,0.7,0.00488689874664905,403
21,0.0,0.71,0.00488689874664905,380
22,0.0,0.72,0.004887445651871749,355
23,0.0,0.73,0.004887445651871749,356
24,0.0,0.74,0.004887445651871749,353
25,0.0,0.75,0.004887445651871749,354
26,0.0,0.76,0.005999943333899089,255
27,0.0,0.77,0.005999943333899089,255
28,0.0,0.78,0.005999943333899089,255
29,0.0,0.79,0.005999943333899089,226
30,0.0,0.8,0.05343455573409402,190
31,0.0,0.81,0.05343455573409402,190
32,0.0,0.82,0.05343455573409402,194
33,0.0,0.83,0.05343455573409402,190
34,0.0,0.84,0.05343455573409402,111
35,0.0,0.85,0.05343455573409402,111
36,0.0,0.86,0.05343455573409402,107
37,0.0,0.87,0.05343455573409402,115
38,0.0,0.88,0.05343455573409402,104
39,0.0,0.89,0.05343455573409402,104
40,0.0,0.9,0.05343455573409402,92
41,0.0,0.91,0.05343455573409402,92
42,0.0,0.92,0.05343455573409402,83
43,0.0,0.93,0.05343455573409402,79
44,0.0,0.94,0.05343455573409402,111
45,0.0,0.95,0.05343455573409402,119
46,0.0,0.96,0.13660102977024002,140
47,0.0,0.97,0.15379944371151022,152
48,0.0,0.98,0.1976008733888846,168
49,0.0,0.99,0.1976008733888846,184
50,0.0,1.0,0.1976008733888846,181
51,0.1,0.5,0.004886575284388866,478
52,0.1,0.51,0.03344113000856877,487
53,0.1,0.52,0.03344113000856877,487
54,0.1,0.53,0.03344113000856877,487
55,0.1,0.54,0.03344113000856877,467
56,0.1,0.55,0.03344113000856877,459
57,0.1,0.56,0.03344113000856877,455
58,0.1,0.57,0.037683942911537274,467
59,0.1,0.58,0.037683942911537274,439
60,0.1,0.59,0.037683942911537274,419
61,0.1,0.6,0.037683942911537274,411
62,0.1,0.61,0.037683942911537274,415
63,0.1,0.62,0.037683942911537274,403
64,0.1,0.63,0.037683942911537274,393
65,0.1,0.64,0.037683942911537274,389
66,0.1,0.65,0.037683942911537274,393
67,0.1,0.66,0.037683942911537274,405
68,0.1,0.67,0.037683942911537274,349
69,0.1,0.68,0.037683942911537274,341
70,0.1,0.69,0.037683942911537274,329
71,0.1,0.7,0.037683942911537274,345
72,0.1,0.71,0.037683942911537274,345
73,0.1,0.72,0.037683942911537274,329
74,0.1,0.73,0.037683942911537274,321
75,0.1,0.74,0.037683942911537274,317
76,0.1,0.75,0.037683942911537274,325
77,0.1,0.76,0.037683942911537274,219
78,0.1,0.77,0.037683942911537274,219
79,0.1,0.78,0.037683942911537274,215
80,0.1,0.79,0.037683942911537274,183
81,0.1,0.8,0.05343455573409402,163
82,0.1,0.81,0.05343455573409402,163
83,0.1,0.82,0.05343455573409402,163
84,0.1,0.83,0.05343455573409402,155
85,0.1,0.84,0.05343455573409402,103
86,0.1,0.85,0.05343455573409402,103
87,0.1,0.86,0.05343455573409402,79
88,0.1,0.87,0.05343455573409402,87
89,0.1,0.88,0.05343455573409402,84
90,0.1,0.89,0.05343455573409402,88
91,0.1,0.9,0.05343455573409402,88
92,0.1,0.91,0.05343455573409402,88
93,0.1,0.92,0.05343455573409402,76
94,0.1,0.93,0.05343455573409402,68
95,0.1,0.94,0.05343455573409402,94
96,0.1,0.95,0.05343455573409402,99
97,0.1,0.96,0.05343455573409402,136
98,0.1,0.97,0.15379944371151022,132
99,0.1,0.98,0.1976008733888846,132
100,0.1,0.99,0.1976008733888846,132
101,0.1,1.0,0.15379944371151022,108
102,0.2,0.5,0.004887445651871749,427
103,0.2,0.51,0.03344113000856877,419
104,0.2,0.52,0.03344113000856877,411
105,0.2,0.53,0.03344113000856877,395
106,0.2,0.54,0.03344113000856877,383
107,0.2,0.55,0.03344113000856877,379
108,0.2,0.56,0.03344113000856877,387
109,0.2,0.57,0.037683942911537274,387
110,0.2,0.58,0.037683942911537274,383
111,0.2,0.59,0.037683942911537274,399
112,0.2,0.6,0.037683942911537274,379
113,0.2,0.61,0.037683942911537274,379
114,0.2,0.62,0.037683942911537274,375
115,0.2,0.63,0.037683942911537274,377
116,0.2,0.64,0.037683942911537274,385
117,0.2,0.65,0.037683942911537274,361
118,0.2,0.66,0.037683942911537274,357
119,0.2,0.67,0.037683942911537274,317
120,0.2,0.68,0.037683942911537274,345
121,0.2,0.69,0.037683942911537274,345
122,0.2,0.7,0.037683942911537274,349
123,0.2,0.71,0.037683942911537274,329
124,0.2,0.72,0.037683942911537274,301
125,0.2,0.73,0.037683942911537274,297
126,0.2,0.74,0.037683942911537274,297
127,0.2,0.75,0.037683942911537274,297
128,0.2,0.76,0.037683942911537274,219
129,0.2,0.77,0.037683942911537274,215
130,0.2,0.78,0.037683942911537274,219
131,0.2,0.79,0.037683942911537274,207
132,0.2,0.8,0.05343455573409402,203
133,0.2,0.81,0.05343455573409402,199
134,0.2,0.82,0.05343455573409402,199
135,0.2,0.83,0.05343455573409402,199
136,0.2,0.84,0.05343455573409402,119
137,0.2,0.85,0.05343455573409402,119
138,0.2,0.86,0.05343455573409402,95
139,0.2,0.87,0.05343455573409402,95
140,0.2,0.88,0.05343455573409402,88
141,0.2,0.89,0.05343455573409402,88
142,0.2,0.9,0.05343455573409402,76
143,0.2,0.91,0.05343455573409402,80
144,0.2,0.92,0.05343455573409402,68
145,0.2,0.93,0.05343455573409402,64
146,0.2,0.94,0.05343455573409402,72
147,0.2,0.95,0.15379944371151022,80
148,0.2,0.96,0.15379944371151022,104
149,0.2,0.97,0.15379944371151022,104
150,0.2,0.98,0.15379944371151022,108
151,0.2,0.99,0.15379944371151022,108
152,0.2,1.0,0.15379944371151022,88
153,0.30000000000000004,0.5,0.004887445651871749,391
154,0.30000000000000004,0.51,0.004887445651871749,367
155,0.30000000000000004,0.52,0.004887445651871749,347
156,0.30000000000000004,0.53,0.004887445651871749,351
157,0.30000000000000004,0.54,0.004887445651871749,347
158,0.30000000000000004,0.55,0.03344113000856877,327
159,0.30000000000000004,0.56,0.03344113000856877,331
160,0.30000000000000004,0.57,0.037683942911537274,339
161,0.30000000000000004,0.58,0.037683942911537274,343
162,0.30000000000000004,0.59,0.037683942911537274,355
163,0.30000000000000004,0.6,0.037683942911537274,335
164,0.30000000000000004,0.61,0.037683942911537274,331
165,0.30000000000000004,0.62,0.037683942911537274,355
166,0.30000000000000004,0.63,0.037683942911537274,329
167,0.30000000000000004,0.64,0.037683942911537274,333
168,0.30000000000000004,0.65,0.037683942911537274,313
169,0.30000000000000004,0.66,0.037683942911537274,317
170,0.30000000000000004,0.67,0.037683942911537274,285
171,0.30000000000000004,0.68,0.037683942911537274,289
172,0.30000000000000004,0.69,0.037683942911537274,301
173,0.30000000000000004,0.7,0.037683942911537274,313
174,0.30000000000000004,0.71,0.037683942911537274,317
175,0.30000000000000004,0.72,0.037683942911537274,293
176,0.30000000000000004,0.73,0.037683942911537274,297
177,0.30000000000000004,0.74,0.037683942911537274,277
178,0.30000000000000004,0.75,0.037683942911537274,281
179,0.30000000000000004,0.76,0.037683942911537274,223
180,0.30000000000000004,0.77,0.037683942911537274,235
181,0.30000000000000004,0.78,0.037683942911537274,239
182,0.30000000000000004,0.79,0.037683942911537274,227
183,0.30000000000000004,0.8,0.05343455573409402,203
184,0.30000000000000004,0.81,0.037683942911537274,207
185,0.30000000000000004,0.82,0.037683942911537274,211
186,0.30000000000000004,0.83,0.037683942911537274,203
187,0.30000000000000004,0.84,0.037683942911537274,131
188,0.30000000000000004,0.85,0.037683942911537274,131
189,0.30000000000000004,0.86,0.037683942911537274,103
190,0.30000000000000004,0.87,0.037683942911537274,103
191,0.30000000000000004,0.88,0.037683942911537274,100
192,0.30000000000000004,0.89,0.05301517153966401,100
193,0.30000000000000004,0.9,0.05301517153966401,88
194,0.30000000000000004,0.91,0.037683942911537274,88
195,0.30000000000000004,0.92,0.05301517153966401,60
196,0.30000000000000004,0.93,0.05301517153966401,56
197,0.30000000000000004,0.94,0.05301517153966401,60
198,0.30000000000000004,0.95,0.037683942911537274,56
199,0.30000000000000004,0.96,0.037683942911537274,92
200,0.30000000000000004,0.97,0.15379944371151022,88
201,0.30000000000000004,0.98,0.15379944371151022,88
202,0.30000000000000004,0.99,0.15379944371151022,88
203,0.30000000000000004,1.0,0.15379944371151022,76
204,0.4,0.5,0.03344113000856877,352
205,0.4,0.51,0.03344113000856877,359
206,0.4,0.52,0.03344113000856877,339
207,0.4,0.53,0.03344113000856877,343
208,0.4,0.54,0.03344113000856877,347
209,0.4,0.55,0.03344113000856877,327
210,0.4,0.56,0.03344113000856877,315
211,0.4,0.57,0.037683942911537274,315
212,0.4,0.58,0.037683942911537274,347
213,0.4,0.59,0.037683942911537274,319
214,0.4,0.6,0.037683942911537274,331
215,0.4,0.61,0.037683942911537274,319
216,0.4,0.62,0.037683942911537274,299
217,0.4,0.63,0.037683942911537274,281
218,0.4,0.64,0.037683942911537274,261
219,0.4,0.65,0.037683942911537274,269
220,0.4,0.66,0.037683942911537274,285
221,0.4,0.67,0.037683942911537274,265
222,0.4,0.68,0.037683942911537274,265
223,0.4,0.69,0.037683942911537274,277
224,0.4,0.7,0.037683942911537274,281
225,0.4,0.71,0.037683942911537274,297
226,0.4,0.72,0.037683942911537274,293
227,0.4,0.73,0.037683942911537274,281
228,0.4,0.74,0.037683942911537274,277
229,0.4,0.75,0.037683942911537274,277
230,0.4,0.76,0.037683942911537274,223
231,0.4,0.77,0.037683942911537274,223
232,0.4,0.78,0.037683942911537274,219
233,0.4,0.79,0.037683942911537274,211
234,0.4,0.8,0.037683942911537274,199
235,0.4,0.81,0.037683942911537274,191
236,0.4,0.82,0.037683942911537274,199
237,0.4,0.83,0.037683942911537274,191
238,0.4,0.84,0.037683942911537274,131
239,0.4,0.85,0.037683942911537274,127
240,0.4,0.86,0.037683942911537274,111
241,0.4,0.87,0.037683942911537274,107
242,0.4,0.88,0.037683942911537274,108
243,0.4,0.89,0.037683942911537274,108
244,0.4,0.9,0.037683942911537274,92
245,0.4,0.91,0.037683942911537274,92
246,0.4,0.92,0.037683942911537274,56
247,0.4,0.93,0.037683942911537274,52
248,0.4,0.94,0.037683942911537274,60
249,0.4,0.95,0.037683942911537274,60
250,0.4,0.96,0.037683942911537274,76
251,0.4,0.97,0.15379944371151022,76
252,0.4,0.98,0.15379944371151022,72
253,0.4,0.99,0.15379944371151022,84
254,0.4,1.0,0.1291747714987722,68
255,0.5,0.5,0.00488689874664905,360
256,0.5,0.51,0.00488689874664905,395
257,0.5,0.52,0.00488689874664905,375
258,0.5,0.53,0.00488689874664905,355
259,0.5,0.54,0.00488689874664905,331
260,0.5,0.55,0.00488689874664905,323
261,0.5,0.56,0.006976808797724063,315
262,0.5,0.57,0.037683942911537274,323
263,0.5,0.58,0.037683942911537274,335
264,0.5,0.59,0.037683942911537274,315
265,0.5,0.6,0.037683942911537274,295
266,0.5,0.61,0.037683942911537274,299
267,0.5,0.62,0.037683942911537274,263
268,0.5,0.63,0.037683942911537274,241
269,0.5,0.64,0.037683942911537274,241
270,0.5,0.65,0.037683942911537274,241
271,0.5,0.66,0.037683942911537274,245
272,0.5,0.67,0.037683942911537274,237
273,0.5,0.68,0.037683942911537274,229
274,0.5,0.69,0.037683942911537274,241
275,0.5,0.7,0.037683942911537274,249
276,0.5,0.71,0.037683942911537274,253
277,0.5,0.72,0.037683942911537274,253
278,0.5,0.73,0.037683942911537274,257
279,0.5,0.74,0.037683942911537274,261
280,0.5,0.75,0.037683942911537274,269
281,0.5,0.76,0.037683942911537274,231
282,0.5,0.77,0.037683942911537274,219
283,0.5,0.78,0.037683942911537274,227
284,0.5,0.79,0.037683942911537274,215
285,0.5,0.8,0.037683942911537274,207
286,0.5,0.81,0.037683942911537274,223
287,0.5,0.82,0.037683942911537274,219
288,0.5,0.83,0.037683942911537274,211
289,0.5,0.84,0.037683942911537274,143
290,0.5,0.85,0.037683942911537274,143
291,0.5,0.86,0.037683942911537274,131
292,0.5,0.87,0.037683942911537274,123
293,0.5,0.88,0.037683942911537274,124
294,0.5,0.89,0.037683942911537274,116
295,0.5,0.9,0.037683942911537274,108
296,0.5,0.91,0.037683942911537274,108
297,0.5,0.92,0.037683942911537274,56
298,0.5,0.93,0.037683942911537274,48
299,0.5,0.94,0.037683942911537274,56
300,0.5,0.95,0.037683942911537274,60
301,0.5,0.96,0.037683942911537274,68
302,0.5,0.97,0.1291747714987722,76
303,0.5,0.98,0.1291747714987722,72
304,0.5,0.99,0.1291747714987722,76
305,0.5,1.0,0.1291747714987722,64
306,0.6000000000000001,0.5,0.00488689874664905,260
307,0.6000000000000001,0.51,0.005999943333899089,287
308,0.6000000000000001,0.52,0.005999943333899089,275
309,0.6000000000000001,0.53,0.005999943333899089,251
310,0.6000000000000001,0.54,0.005999943333899089,231
311,0.6000000000000001,0.55,0.005999943333899089,223
312,0.6000000000000001,0.56,0.006976808797724063,263
313,0.6000000000000001,0.57,0.037683942911537274,259
314,0.6000000000000001,0.58,0.037683942911537274,283
315,0.6000000000000001,0.59,0.037683942911537274,299
316,0.6000000000000001,0.6,0.037683942911537274,271
317,0.6000000000000001,0.61,0.037683942911537274,283
318,0.6000000000000001,0.62,0.037683942911537274,267
319,0.6000000000000001,0.63,0.037683942911537274,253
320,0.6000000000000001,0.64,0.037683942911537274,265
321,0.6000000000000001,0.65,0.037683942911537274,289
322,0.6000000000000001,0.66,0.037683942911537274,312
323,0.6000000000000001,0.67,0.037683942911537274,313
324,0.6000000000000001,0.68,0.037683942911537274,297
325,0.6000000000000001,0.69,0.037683942911537274,293
326,0.6000000000000001,0.7,0.037683942911537274,305
327,0.6000000000000001,0.71,0.037683942911537274,313
328,0.6000000000000001,0.72,0.037683942911537274,257
329,0.6000000000000001,0.73,0.037683942911537274,237
330,0.6000000000000001,0.74,0.037683942911537274,237
331,0.6000000000000001,0.75,0.037683942911537274,241
332,0.6000000000000001,0.76,0.037683942911537274,251
333,0.6000000000000001,0.77,0.037683942911537274,231
334,0.6000000000000001,0.78,0.037683942911537274,235
335,0.6000000000000001,0.79,0.037683942911537274,210
336,0.6000000000000001,0.8,0.037683942911537274,207
337,0.6000000000000001,0.81,0.037683942911537274,231
338,0.6000000000000001,0.82,0.037683942911537274,227
339,0.6000000000000001,0.83,0.037683942911537274,203
340,0.6000000000000001,0.84,0.037683942911537274,147
341,0.6000000000000001,0.85,0.037683942911537274,135
342,0.6000000000000001,0.86,0.037683942911537274,115
343,0.6000000000000001,0.87,0.037683942911537274,111
344,0.6000000000000001,0.88,0.037683942911537274,108
345,0.6000000000000001,0.89,0.037683942911537274,104
346,0.6000000000000001,0.9,0.037683942911537274,104
347,0.6000000000000001,0.91,0.037683942911537274,108
348,0.6000000000000001,0.92,0.037683942911537274,56
349,0.6000000000000001,0.93,0.037683942911537274,52
350,0.6000000000000001,0.94,0.037683942911537274,56
351,0.6000000000000001,0.95,0.037683942911537274,56
352,0.6000000000000001,0.96,0.037683942911537274,68
353,0.6000000000000001,0.97,0.1291747714987722,72
354,0.6000000000000001,0.98,0.12745877859041335,72
355,0.6000000000000001,0.99,0.1291747714987722,64
356,0.6000000000000001,1.0,0.1291747714987722,60
357,0.7000000000000001,0.5,0.00488689874664905,224
358,0.7000000000000001,0.51,0.0069773164081901855,207
359,0.7000000000000001,0.52,0.0069773164081901855,191
360,0.7000000000000001,0.53,0.0069773164081901855,171
361,0.7000000000000001,0.54,0.0069773164081901855,167
362,0.7000000000000001,0.55,0.0069773164081901855,175
363,0.7000000000000001,0.56,0.046231100000000004,187
364,0.7000000000000001,0.57,0.046231100000000004,235
365,0.7000000000000001,0.58,0.046231100000000004,235
366,0.7000000000000001,0.59,0.046231100000000004,227
367,0.7000000000000001,0.6,0.046231100000000004,239
368,0.7000000000000001,0.61,0.046231100000000004,263
369,0.7000000000000001,0.62,0.037683942911537274,296
370,0.7000000000000001,0.63,0.037683942911537274,289
371,0.7000000000000001,0.64,0.037683942911537274,285
372,0.7000000000000001,0.65,0.037683942911537274,301
373,0.7000000000000001,0.66,0.037683942911537274,305
374,0.7000000000000001,0.67,0.037683942911537274,313
375,0.7000000000000001,0.68,0.037683942911537274,281
376,0.7000000000000001,0.69,0.037683942911537274,269
377,0.7000000000000001,0.7,0.037683942911537274,277
378,0.7000000000000001,0.71,0.0462312,289
379,0.7000000000000001,0.72,0.0462312,281
380,0.7000000000000001,0.73,0.037683942911537274,269
381,0.7000000000000001,0.74,0.037683942911537274,257
382,0.7000000000000001,0.75,0.037683942911537274,249
383,0.7000000000000001,0.76,0.037683942911537274,255
384,0.7000000000000001,0.77,0.037683942911537274,235
385,0.7000000000000001,0.78,0.037683942911537274,227
386,0.7000000000000001,0.79,0.046231100000000004,207
387,0.7000000000000001,0.8,0.037683942911537274,211
388,0.7000000000000001,0.81,0.037683942911537274,223
389,0.7000000000000001,0.82,0.037683942911537274,219
390,0.7000000000000001,0.83,0.037683942911537274,199
391,0.7000000000000001,0.84,0.037683942911537274,139
392,0.7000000000000001,0.85,0.037683942911537274,143
393,0.7000000000000001,0.86,0.037683942911537274,123
394,0.7000000000000001,0.87,0.037683942911537274,115
395,0.7000000000000001,0.88,0.037683942911537274,108
396,0.7000000000000001,0.89,0.037683942911537274,108
397,0.7000000000000001,0.9,0.040447017065415335,108
398,0.7000000000000001,0.91,0.040447017065415335,112
399,0.7000000000000001,0.92,0.04273652961167998,56
400,0.7000000000000001,0.93,0.04273652961167998,48
401,0.7000000000000001,0.94,0.04273652961167998,52
402,0.7000000000000001,0.95,0.040447017065415335,56
403,0.7000000000000001,0.96,0.040447017065415335,56
404,0.7000000000000001,0.97,0.040447017065415335,60
405,0.7000000000000001,0.98,0.040447017065415335,68
406,0.7000000000000001,0.99,0.1291747714987722,60
407,0.7000000000000001,1.0,0.1291747714987722,56
408,0.8,0.5,0.037683942911537274,140
409,0.8,0.51,0.037683942911537274,128
410,0.8,0.52,0.046231100000000004,112
411,0.8,0.53,0.037683942911537274,100
412,0.8,0.54,0.037683942911537274,96
413,0.8,0.55,0.046231100000000004,108
414,0.8,0.56,0.0069773164081901855,112
415,0.8,0.57,0.03344113000856877,96
416,0.8,0.58,0.03344113000856877,96
417,0.8,0.59,0.03344113000856877,108
418,0.8,0.6,0.03344113000856877,128
419,0.8,0.61,0.03344113000856877,124
420,0.8,0.62,0.03344113000856877,124
421,0.8,0.63,0.03344113000856877,128
422,0.8,0.64,0.03344113000856877,128
423,0.8,0.65,0.037683942911537274,136
424,0.8,0.66,0.037683942911537274,180
425,0.8,0.67,0.037683942911537274,293
426,0.8,0.68,0.037683942911537274,265
427,0.8,0.69,0.037683942911537274,281
428,0.8,0.7,0.037683942911537274,309
429,0.8,0.71,0.0462312,361
430,0.8,0.72,0.0462312,349
431,0.8,0.73,0.037683942911537274,333
432,0.8,0.74,0.037683942911537274,313
433,0.8,0.75,0.037683942911537274,325
434,0.8,0.76,0.037683942911537274,279
435,0.8,0.77,0.046231100000000004,303
436,0.8,0.78,0.0462848120645423,291
437,0.8,0.79,0.0462848120645423,279
438,0.8,0.8,0.0462848120645423,283
439,0.8,0.81,0.0462848120645423,275
440,0.8,0.82,0.0462848120645423,235
441,0.8,0.83,0.037683942911537274,219
442,0.8,0.84,0.037683942911537274,151
443,0.8,0.85,0.037683942911537274,151
444,0.8,0.86,0.037683942911537274,135
445,0.8,0.87,0.037683942911537274,127
446,0.8,0.88,0.04273652961167998,116
447,0.8,0.89,0.04273652961167998,112
448,0.8,0.9,0.04273652961167998,104
449,0.8,0.91,0.04273652961167998,108
450,0.8,0.92,0.04273652961167998,56
451,0.8,0.93,0.04273652961167998,52
452,0.8,0.94,0.04273652961167998,56
453,0.8,0.95,0.04273652961167998,56
454,0.8,0.96,0.04273652961167998,60
455,0.8,0.97,0.04273652961167998,59
456,0.8,0.98,0.04273652961167998,59
457,0.8,0.99,0.1291747714987722,63
458,0.8,1.0,0.04273652961167998,58
459,0.9,0.5,0.009132538199208366,92
460,0.9,0.51,0.009132538199208366,80
461,0.9,0.52,0.009132538199208366,84
462,0.9,0.53,0.009132538199208366,84
463,0.9,0.54,0.0462312,96
464,0.9,0.55,0.0462312,92
465,0.9,0.56,0.009132538199208366,80
466,0.9,0.57,0.046231100000000004,76
467,0.9,0.58,0.03344113000856877,72
468,0.9,0.59,0.0462312,92
469,0.9,0.6,0.0462312,96
470,0.9,0.61,0.03344113000856877,88
471,0.9,0.62,0.03344113000856877,88
472,0.9,0.63,0.03344113000856877,88
473,0.9,0.64,0.03344113000856877,96
474,0.9,0.65,0.037683942911537274,116
475,0.9,0.66,0.037683942911537274,116
476,0.9,0.67,0.037683942911537274,120
477,0.9,0.68,0.037683942911537274,120
478,0.9,0.69,0.037683942911537274,168
479,0.9,0.7,0.037683942911537274,164
480,0.9,0.71,0.037683942911537274,202
481,0.9,0.72,0.0462312,204
482,0.9,0.73,0.046231100000000004,208
483,0.9,0.74,0.046231100000000004,216
484,0.9,0.75,0.046231100000000004,224
485,0.9,0.76,0.046231100000000004,227
486,0.9,0.77,0.0462848120645423,283
487,0.9,0.78,0.0462848120645423,343
488,0.9,0.79,0.0462848120645423,327
489,0.9,0.8,0.0462848120645423,303
490,0.9,0.81,0.0462848120645423,315
491,0.9,0.82,0.0462848120645423,295
492,0.9,0.83,0.037683942911537274,271
493,0.9,0.84,0.037683942911537274,183
494,0.9,0.85,0.037683942911537274,191
495,0.9,0.86,0.037683942911537274,139
496,0.9,0.87,0.037683942911537274,131
497,0.9,0.88,0.037683942911537274,120
498,0.9,0.89,0.037683942911537274,120
499,0.9,0.9,0.037683942911537274,112
